,playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast
396,applepe01,1904.0,5.0,20.0,Pete,Appleton
397,applilu01,1907.0,4.0,2.0,Luke,Appling
398,aquingr01,1978.0,1.0,11.0,Greg,Aquino
399,aquinlu01,1964.0,5.0,19.0,Luis,Aquino
400,aragoan01,1890.0,8.0,2.0,Angel,Aragon
401,aragoja01,1915.0,11.0,20.0,Jack,Aragon
402,araujel01,1991.0,7.0,15.0,Elvis,Araujo
403,archdma01,1898.0,12.0,14.0,Maurice,Archdeacon
404,archech01,1988.0,9.0,26.0,Chris,Archer
405,archefr01,1910.0,3.0,7.0,Fred,Archer
406,archeji01,1883.0,5.0,13.0,Jimmy,Archer
407,archeji02,1932.0,5.0,25.0,Jim,Archer
408,archige01,1914.0,4.0,27.0,George,Archie
409,arciajo01,1943.0,8.0,22.0,Jose,Arcia
410,arciaos01,1991.0,5.0,9.0,Oswaldo,Arcia
411,ardelda01,1941.0,5.0,27.0,Dan,Ardell
412,ardizru01,1919.0,11.0,20.0,Rugger,Ardizoia
413,ardnejo01,1858.0,2.0,27.0,Joe,Ardner
414,ardoida01,1974.0,7.0,8.0,Danny,Ardoin
415,arellfr01,1882.0,1.0,28.0,Frank,Arellanes
416,arenano01,1991.0,4.0,16.0,Nolan,Arenado
417,arencjp01,1986.0,1.0,5.0,J. P.,Arencibia
418,arftha01,1922.0,1.0,28.0,Hank,Arft
419,ariasal01,1967.0,11.0,20.0,Alex,Arias
420,ariasal02,1983.0,10.0,14.0,Alberto,Arias
421,ariasge01,1972.0,3.0,12.0,George,Arias
422,ariasjo01,1984.0,9.0,21.0,Joaquin,Arias
423,ariasru01,1931.0,6.0,6.0,Rudy,Arias
424,arletbu01,1899.0,1.0,3.0,Buzz,Arlett
425,arlicdo01,1943.0,2.0,15.0,Don,Arlich
426,arlinst01,1945.0,9.0,25.0,Steve,Arlin
427,armasma01,1969.0,8.0,5.0,Marcos,Armas
428,armasto01,1953.0,7.0,2.0,Tony,Armas
429,armasto02,1978.0,4.0,29.0,Tony,Armas
430,armbrch01,1880.0,8.0,30.0,Charlie,Armbruster
431,armbred01,1948.0,7.0,4.0,Ed,Armbrister
432,armbrha01,1882.0,3.0,20.0,Harry,Armbruster
433,armbror01,1908.0,3.0,2.0,Orville,Armbrust
434,armoubi99,1869.0,9.0,3.0,Bill,Armour
435,armstbo01,1850.0,,,Robert,Armstrong
436,armstge01,1924.0,6.0,3.0,George,Armstrong
